Cause of Death Code,Cause of Death Description,Census Region,Report Date,State,Drug Overdose Death Count
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2013,Mississippi,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2013,North Carolina,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2013,Oklahoma,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2013,South Carolina,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2013,Tennessee,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2013,Texas,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2013,Virginia,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2013,West Virginia,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2014,Delaware,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2014,District of Columbia,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2014,Florida,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2014,Georgia,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2014,Kentucky,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2014,Louisiana,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2014,Maryland,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2014,Mississippi,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2014,North Carolina,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2014,Oklahoma,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2014,South Carolina,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2014,Tennessee,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2014,Texas,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2014,Virginia,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2014,West Virginia,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2015,Delaware,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2015,District of Columbia,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2015,Florida,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2015,Georgia,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2015,Kentucky,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2015,Louisiana,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2015,Maryland,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2015,Mississippi,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2015,North Carolina,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2015,Oklahoma,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2015,South Carolina,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2015,Tennessee,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2015,Texas,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2015,Virginia,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2015,West Virginia,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2016,Delaware,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2016,District of Columbia,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2016,Florida,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2016,Georgia,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2016,Kentucky,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2016,Louisiana,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2016,Maryland,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2016,Mississippi,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2016,North Carolina,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2016,Oklahoma,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2016,South Carolina,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2016,Tennessee,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2016,Texas,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2016,Virginia,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2016,West Virginia,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2017,Delaware,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2017,District of Columbia,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2017,Florida,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2017,Georgia,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2017,Kentucky,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2017,Louisiana,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2017,Maryland,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2017,Mississippi,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2017,North Carolina,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2017,Oklahoma,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2017,South Carolina,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2017,Tennessee,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2017,Texas,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2017,Virginia,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2017,West Virginia,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2018,Delaware,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2018,District of Columbia,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2018,Florida,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2018,Georgia,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2018,Kentucky,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2018,Louisiana,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2018,Maryland,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2018,Mississippi,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2018,North Carolina,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2018,Oklahoma,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2018,South Carolina,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2018,Tennessee,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2018,Texas,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2018,Virginia,
Y10,"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent", South,12/31/2018,West Virginia,
Y14,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent", South,12/31/1999,Delaware,
Y14,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent", South,12/31/1999,District of Columbia,
Y14,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent", South,12/31/1999,Florida,23
Y14,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent", South,12/31/1999,Georgia,
Y14,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent", South,12/31/1999,Kentucky,14
Y14,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent", South,12/31/1999,Louisiana,22
Y14,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent", South,12/31/1999,Maryland,38
Y14,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent", South,12/31/1999,Mississippi,
Y14,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent", South,12/31/1999,North Carolina,10
Y14,"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent", South,12/31/1999,Oklahoma,
